condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,20000,0.9727,0.9727,0.9762240580294177,0.969,0.9725986148750375,0.99674022,0.020952417824171128,0.0236,0.031
jpeg_90,20000,0.97145,0.9714499999999999,0.9779016725798276,0.9647,0.9712559778504908,0.996505305,0.0212482442432978,0.0218,0.0353
jpeg_70,20000,0.97315,0.97315,0.9774952063780402,0.9686,0.9730272740971421,0.99681469,0.020445313805431447,0.0223,0.0314
jpeg_50,20000,0.95485,0.95485,0.9796477907835073,0.929,0.9536519016578556,0.99327104,0.030545854636793043,0.0193,0.071
jpeg_30,20000,0.94165,0.9416500000000001,0.97059136920618,0.9109,0.9397988135156048,0.989150645,0.03924730326800948,0.0276,0.0891
blur_0.5,20000,0.9531,0.9531000000000001,0.9895203111495247,0.9159,0.9512879102617366,0.995493185,0.028797650281712318,0.0097,0.0841
blur_1,20000,0.9371,0.9371,0.9619530754597336,0.9102,0.9353612167300381,0.98647805,0.043616691081095504,0.036,0.0898
blur_2,20000,0.895,0.895,0.935309675997355,0.8487,0.8899024850581944,0.96698011,0.07097429159015202,0.0587,0.1513
resize_0.5,20000,0.9355,0.9355,0.9518572317908279,0.9174,0.9343110296364191,0.98505746,0.04643061489866062,0.0464,0.0826
resize_0.25,20000,0.89405,0.89405,0.9279895731508635,0.8544,0.8896756390899152,0.96379496,0.07441053825884952,0.0663,0.1456
noise_0.02,20000,0.9671,0.9671000000000001,0.9809514003294892,0.9527,0.9666193181818181,0.995825435,0.02306908432274294,0.0185,0.0473
noise_0.05,20000,0.95355,0.95355,0.9810160144235868,0.925,0.9521848782747439,0.99313465,0.030898400187686137,0.0179,0.075
noise_0.1,20000,0.92305,0.9230499999999999,0.9754973586602226,0.8679,0.9185585013494205,0.9851359,0.048696614485123045,0.0218,0.1321
color_0.8,20000,0.9579,0.9579,0.983424831081081,0.9315,0.9567584223500412,0.99448296,0.02783821000309669,0.0157,0.0685
color_1.2,20000,0.96265,0.96265,0.9718510963793983,0.9529,0.9622822519565766,0.994696635,0.026814188559394176,0.0276,0.0471
crop_0.8,20000,0.9377,0.9377,0.976485956890921,0.897,0.9350568122589389,0.989416095,0.04141161888518069,0.0216,0.103
