condition,samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,false_positive_rate,false_negative_rate
clean,4375,0.8690285714285715,0.8651333333333333,0.8800788954635108,0.8924,0.886196623634558,0.9448187733333333,0.18314873072832566,0.16213333333333332,0.1076
jpeg_90,4375,0.8397714285714286,0.8415333333333334,0.8832552194290584,0.8292,0.8553744584278936,0.92679872,0.23567023892826722,0.14613333333333334,0.1708
jpeg_70,4375,0.8354285714285714,0.8327333333333333,0.8591606133979015,0.8516,0.8553635998392929,0.92329408,0.21896435740232764,0.18613333333333335,0.1484
jpeg_50,4375,0.8169142857142857,0.8097333333333333,0.8266051518646674,0.86,0.8429719662811213,0.9005179733333334,0.23176234867268136,0.24053333333333332,0.14
jpeg_30,4375,0.8105142857142857,0.7985333333333333,0.8048157606712879,0.8824,0.8418240793741653,0.89729536,0.2141753897268609,0.2853333333333333,0.1176
blur_0.5,4375,0.8534857142857143,0.8508,0.8734431498593813,0.8696,0.8715173381439166,0.9358097066666666,0.19417055159858393,0.168,0.1304
blur_1,4375,0.8086857142857143,0.7916666666666667,0.787616741611899,0.9108,0.8447412353923206,0.9022833066666667,0.19154586297861673,0.3274666666666667,0.0892
blur_2,4375,0.7675428571428572,0.7374,0.7275237803007057,0.9484,0.8234068414655321,0.8606523733333333,0.19553795540639257,0.4736,0.0516
resize_0.5,4375,0.8068571428571428,0.7927333333333333,0.7952194077773814,0.8916,0.8406562323213275,0.8992085333333333,0.2129051994686531,0.3061333333333333,0.1084
resize_0.25,4375,0.7300571428571428,0.6978666666666666,0.700030330603579,0.9232,0.7962739347938589,0.7931908266666666,0.2472252775448995,0.5274666666666666,0.0768
noise_0.02,4375,0.8388571428571429,0.8242,0.8161324410003522,0.9268,0.8679528001498408,0.9308593066666667,0.16019489009721488,0.2784,0.0732
noise_0.05,4375,0.8091428571428572,0.7874,0.7744807121661721,0.9396,0.8490872944153262,0.9160593066666667,0.1499972254099641,0.3648,0.0604
noise_0.1,4375,0.7488,0.7101333333333333,0.6999714530402512,0.9808,0.8169248708978845,0.8891374933333334,0.1433381564806117,0.5605333333333333,0.0192
color_0.8,4375,0.8505142857142857,0.8515333333333334,0.8884680134680135,0.8444,0.8658736669401148,0.93460224,0.21735194436412908,0.14133333333333334,0.1556
color_1.2,4375,0.8084571428571429,0.785,0.769455252918288,0.9492,0.8499283667621776,0.9128784,0.14960269412425597,0.3792,0.0508
crop_0.8,4375,0.8425142857142857,0.8331999999999999,0.8377471092875792,0.8984,0.8670140899440262,0.9297988266666667,0.18643185914285038,0.232,0.1016
